,country,country_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,
1,Africa Eastern and Southern,AFE,5.8293659714275,6.188641138599469,5.766620006804071,6.13453286716247,6.24361440173012,6.067345436433611,5.984721475760269,5.9188418645167005,5.778916072247981,6.3327525750113995,6.3854274046319,6.19889465134853,6.09293985998489,6.061229085072191,5.88668068313992,6.12840385205797,6.01733897809904,5.939238076642781,5.9258817933218095
2,Afghanistan,AFG,,,9.44338989,8.94125843,9.80847359,9.94828987,10.62276554,9.90467453,10.25649548,9.81848717,8.56967163,8.56190681,7.89716816,8.80596447,9.52887821,10.10534763,10.96199989,11.77723598,9.39572716
3,Africa Western and Central,AFW,3.71030172166359,3.67210650863648,3.2705794529991,4.66383700354078,4.50643661826445,4.35128538715477,4.23547134953628,4.0369490727045205,3.8575272746373903,3.9386329072295805,3.6540974502997,3.6505051234534003,3.6172621803207403,3.73025108795254,3.7199612958141204,3.96892114729193,3.96580921555138,3.9926031937894906,4.00478985770891
4,Angola,AGO,1.90859938,4.48351622,3.32946134,3.54797316,3.96719909,2.85219526,2.68553543,2.97439122,3.32290339,3.84260798,2.69509959,2.64560771,2.39574957,2.73282671,2.43412876,2.60579467,2.71314979,2.79150295,2.54900527
5,Albania,ALB,7.2333703,7.13952398,6.90934134,7.06348991,6.77337217,6.33554173,6.00927687,6.31683397,5.139081,4.60224104,4.74581575,4.79532719,5.05526161,5.38559914,5.50349331,4.89632177,4.91601992,5.01059723,5.26271439
6,Andorra,AND,5.88990307,5.93786001,6.09685135,5.52953768,5.27981806,5.5754261,4.93509436,4.9255476,5.80598593,6.20233727,6.64963865,6.24652863,6.10150337,5.98780346,5.97912455,6.23245335,6.34349346,6.54431868,6.71033096
7,Arab World,ARB,3.99485458683397,4.2961601195756,4.277569177096299,4.09347481676919,3.79669911008794,3.4854522567427004,3.4811311226524704,3.56907057772178,3.40338262851022,4.45595343187662,3.9872009594952,3.93486018070375,4.02250795527758,4.24866712936902,4.585564321009009,5.11479362139869,5.01689805584966,5.56419211894541,5.23099782538083
8,United Arab Emirates,ARE,2.37413526,2.48437047,2.71770859,2.64634395,2.46204352,2.32019687,2.3254137000000004,2.56569624,2.92847514,4.04999352,3.87873054,3.67006993,3.42519474,3.59299517,3.63020706,3.58359146,3.4034214,4.14456415,4.22590351
9,Argentina,ARG,8.46696377,8.62096786,7.64670229,7.11225414,7.22868299,7.61078882,7.64032841,7.83455086,8.1826973,9.45599556,9.44546413,9.41819859,9.82726669,9.78097916,9.67129993,10.22933769,9.00189686,10.45704365,9.62454033
10,Armenia,ARM,4.19581175,4.64563894,7.61358738,7.17936134,6.05510092,5.8618803,5.85007095,5.49814034,6.63976574,8.44377613,9.23538303,9.37588787,9.13455009,10.32345009,10.17827797,10.117628100000001,9.95195866,10.36270523,10.02538967
11,American Samoa,ASM,,,,,,,,,,,,,,,,,,,
12,Antigua and Barbuda,ATG,4.69438457,5.43587589,5.28793621,5.58626556,5.11667967,4.9945569,4.63347101,4.44986248,4.204817299999999,4.19123125,5.37907028,5.44257212,5.47921419,5.50909281,5.87269974,5.27965546,5.12190151,5.17094231,5.23155928
13,Australia,AUS,7.61383343,7.69622898,7.89332151,7.90449524,8.10948753,7.99008226,7.98943853,8.06755352,8.25585651,8.56316471,8.4308424,8.54153824,8.67564774,8.76116371,9.03597069,9.32331181,9.20071316,9.20544815,9.28459835
