world_bank,who,owid,onu,iso_country
Afghanistan,Afghanistan,Afghanistan,Afghanistan,AFG
Africa Eastern and Southern,,Africa Eastern and Southern,,
Africa Western and Central,,Africa Western and Central,,
,,,land Islands,ALA
Albania,Albania,Albania,Albania,ALB
Algeria,Algeria,Algeria,Algeria,DZA
American Samoa,,American Samoa,American Samoa,ASM
Andorra,Andorra,Andorra,Andorra,AND
Angola,Angola,Angola,Angola,AGO
,,,Anguilla,AIA
,,,Antarctica,ATA
Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,ATG
Arab World,,Arab World,,
Argentina,Argentina,Argentina,Argentina,ARG
Armenia,Armenia,Armenia,Armenia,ARM
Aruba,,Aruba,Aruba,ABW
Australia,Australia,Australia,Australia,AUS
Austria,Austria,Austria,Austria,AUT
Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan,AZE
"Bahamas, The",Bahamas,"Bahamas, The",Bahamas,BHS
Bahrain,Bahrain,Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,Bangladesh,Bangladesh,BGD
Barbados,Barbados,Barbados,Barbados,BRB
Belarus,Belarus,Belarus,Belarus,BLR
Belgium,Belgium,Belgium,Belgium,BEL
Belize,Belize,Belize,Belize,BLZ
Benin,Benin,Benin,Benin,BEN
Bermuda,,Bermuda,Bermuda,BMU
Bhutan,Bhutan,Bhutan,Bhutan,BTN
Bolivia,Bolivia (Plurinational State of),Bolivia,Bolivia (Plurinational State of),BOL
,,,"Bonaire, Sint Eustatius and Saba",BES
Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,Botswana,Botswana,BWA
,,,Bouvet Island,BVT
Brazil,Brazil,Brazil,Brazil,BRA
,,,British Indian Ocean Territory,IOT
British Virgin Islands,,British Virgin Islands,British Virgin Islands,VGB
Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,BRN
Bulgaria,Bulgaria,Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,Burundi,Burundi,BDI
Cabo Verde,Cabo Verde,Cabo Verde,Cabo Verde,CPV
Cambodia,Cambodia,Cambodia,Cambodia,KHM
Cameroon,Cameroon,Cameroon,Cameroon,CMR
Canada,Canada,Canada,Canada,CAN
Caribbean small states,,Caribbean small states,,
Cayman Islands,,Cayman Islands,Cayman Islands,CYM
Central African Republic,Central African Republic,Central African Republic,Central African Republic,CAF
Central Europe and the Baltics,,Central Europe and the Baltics,,
Chad,Chad,Chad,Chad,TCD
Channel Islands,,Channel Islands,,
Chile,Chile,Chile,Chile,CHL
China,China,China,China,CHN
,,,Christmas Island,CXR
,,,Cocos (Keeling) Islands,CCK
Colombia,Colombia,Colombia,Colombia,COL
Comoros,Comoros,Comoros,Comoros,COM
Congo,Congo,Congo,Congo,COG
"Congo, Dem. Rep.",Democratic Republic of the Congo,"Congo, Dem. Rep.",Democratic Republic of the Congo,COD
,Cook Islands,,Cook Islands,COK
Costa Rica,Costa Rica,Costa Rica,Costa Rica,CRI
Cote d'Ivoire,Cte d'Ivoire,Cote d'Ivoire,Cte dÕIvoire,CIV
Croatia,Croatia,Croatia,Croatia,HRV
Cuba,Cuba,Cuba,Cuba,CUB
Curacao,,Curacao,Curaao,CUW
Cyprus,Cyprus,Cyprus,Cyprus,CYP
Czech Republic,Czechia,Czech Republic,Czechia,CZE
Denmark,Denmark,Denmark,Denmark,DNK
Djibouti,Djibouti,Djibouti,Djibouti,DJI
Dominica,Dominica,Dominica,Dominica,DMA
Dominican Republic,Dominican Republic,Dominican Republic,Dominican Republic,DOM
Early-demographic dividend,,Early-demographic dividend,,
East Asia & Pacific,,East Asia & Pacific,,
East Asia & Pacific (excluding high income),,East Asia & Pacific (excluding high income),,
East Asia & Pacific (IDA & IBRD countries),,East Asia & Pacific (IDA & IBRD countries),,
Ecuador,Ecuador,Ecuador,Ecuador,ECU
"Egypt, Arab Rep.",Egypt,"Egypt, Arab Rep.",Egypt,EGY
El Salvador,El Salvador,El Salvador,El Salvador,SLV
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,GNQ
Eritrea,Eritrea,Eritrea,Eritrea,ERI
Estonia,Estonia,Estonia,Estonia,EST
Eswatini,Eswatini,Eswatini,Eswatini,SWZ
Ethiopia,Ethiopia,Ethiopia,Ethiopia,ETH
Euro area,,Euro area,,
Europe & Central Asia,,Europe & Central Asia,,
Europe & Central Asia (excluding high income),,Europe & Central Asia (excluding high income),,
Europe & Central Asia (IDA & IBRD countries),,Europe & Central Asia (IDA & IBRD countries),,
European Union,,European Union,,
,,,Falkland Islands (Malvinas),FLK
Faroe Islands,,Faroe Islands,Faroe Islands,FRO
Fiji,Fiji,Fiji,Fiji,FJI
Finland,Finland,Finland,Finland,FIN
Fragile and conflict affected situations,,Fragile and conflict affected situations,,
France,France,France,France,FRA
French Polynesia,,French Polynesia,French Polynesia,GUF
,,,French Guiana,PYF
,,,French Southern Territories,ATF
Gabon,Gabon,Gabon,Gabon,GAB
"Gambia, The",Gambia,"Gambia, The",Gambia,GMB
Georgia,Georgia,Georgia,Georgia,GEO
Germany,Germany,Germany,Germany,DEU
Ghana,Ghana,Ghana,Ghana,GHA
Gibraltar,,Gibraltar,Gibraltar,GIB
Greece,Greece,Greece,Greece,GRC
Greenland,,Greenland,Greenland,GRL
Grenada,Grenada,Grenada,Grenada,GRD
,,,Guadeloupe,GLP
Guam,,Guam,Guam,GUM
Guatemala,Guatemala,Guatemala,Guatemala,GTM
,,,Guernsey,GGY
Guinea,Guinea,Guinea,Guinea,GIN
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,GNB
Guyana,Guyana,Guyana,Guyana,GUY
Haiti,Haiti,Haiti,Haiti,HTI
Heavily indebted poor countries (HIPC),,Heavily indebted poor countries (HIPC),,
High income,,High income,,
,,,Heard Island and McDonald Islands,HMD
Honduras,Honduras,Honduras,Honduras,HND
"Hong Kong SAR, China",,"Hong Kong SAR, China",Hong Kong Special Administrative Region,HKG
Hungary,Hungary,Hungary,Hungary,HUN
IBRD only,,IBRD only,,
Iceland,Iceland,Iceland,Iceland,ISL
IDA & IBRD total,,IDA & IBRD total,,
IDA blend,,IDA blend,,
IDA only,,IDA only,,
IDA total,,IDA total,,
India,India,India,India,IND
Indonesia,Indonesia,Indonesia,Indonesia,IDN
"Iran, Islamic Rep.",Iran (Islamic Republic of),"Iran, Islamic Rep.",Iran (Islamic Republic of),IRN
Iraq,Iraq,Iraq,Iraq,IRQ
Ireland,Ireland,Ireland,Ireland,IRL
Isle of Man,,Isle of Man,Isle of Man,IMN
Israel,Israel,Israel,Israel,ISR
Italy,Italy,Italy,Italy,ITA
Jamaica,Jamaica,Jamaica,Jamaica,JAM
Japan,Japan,Japan,Japan,JPN
,,,Jersey,JEY
Jordan,Jordan,Jordan,Jordan,JOR
Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ
Kenya,Kenya,Kenya,Kenya,KEN
Kiribati,Kiribati,Kiribati,Kiribati,KIR
"Korea, Dem. People's Rep.",,"Korea, Dem. People's Rep.",Democratic People's Republic of Korea,PRK
"Korea, Rep.",Republic of Korea,"Korea, Rep.",Republic of Korea,KOR
Kosovo,,Kosovo,,
Kuwait,Kuwait,Kuwait,Kuwait,KWT
Kyrgyz Republic,Kyrgyzstan,Kyrgyz Republic,Kyrgyzstan,KGZ
Lao PDR,Lao People's Democratic Republic,Lao PDR,Lao People's Democratic Republic,LAO
Late-demographic dividend,,Late-demographic dividend,,
Latin America & Caribbean,,Latin America & Caribbean,,
Latin America & Caribbean (excluding high income),,Latin America & Caribbean (excluding high income),,
Latin America & the Caribbean (IDA & IBRD countries),,Latin America & the Caribbean (IDA & IBRD countries),,
Latvia,Latvia,Latvia,Latvia,LVA
Least developed countries: UN classification,,Least developed countries: UN classification,,
Lebanon,Lebanon,Lebanon,Lebanon,LBN
Lesotho,Lesotho,Lesotho,Lesotho,LSO
Liberia,Liberia,Liberia,Liberia,LBR
Libya,Libya,Libya,Libya,LBY
Liechtenstein,,Liechtenstein,Liechtenstein,LIE
Lithuania,Lithuania,Lithuania,Lithuania,LTU
Low & middle income,,Low & middle income,,
Low income,,Low income,,
Lower middle income,,Lower middle income,,
Luxembourg,Luxembourg,Luxembourg,Luxembourg,LUX
"Macao SAR, China",,"Macao SAR, China",Macao Special Administrative Region,MAC
Madagascar,Madagascar,Madagascar,Madagascar,MDG
Malawi,Malawi,Malawi,Malawi,MWI
Malaysia,Malaysia,Malaysia,Malaysia,MYS
Maldives,Maldives,Maldives,Maldives,MDV
Mali,Mali,Mali,Mali,MLI
Malta,Malta,Malta,Malta,MLT
Marshall Islands,,Marshall Islands,Marshall Islands,MHL
,,,Martinique,MTQ
Mauritania,Mauritania,Mauritania,Mauritania,MRT
Mauritius,Mauritius,Mauritius,Mauritius,MUS
