,country,country_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,6472.398708874771,7885.15892730063,9765.90920740626,11392.269149986101,12306.717679149298,13495.79430054,14045.474565614599,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.750467352802,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.634859691403,24631.1820522439,23513.527696809,24985.0139185797,24712.493262890697,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.805018913703,30253.279358019503,,
1,Africa Eastern and Southern,AFE,147.45036931889098,146.853700912865,156.01792896800302,182.04408505959,162.169576659527,180.017300692806,190.636219898554,192.12626725573102,203.783403883256,227.65871142287997,236.533778684278,253.72844830852299,267.837318504381,339.387246515973,409.66854174809896,424.337380289061,411.06239114466905,455.75389865726,495.546623351715,563.384517232312,687.800392555771,684.453944647069,641.08014823215,643.097823937926,570.820524707177,495.12112857230005,541.833346594177,643.095686408259,656.626462381489,656.46574609777,696.2238920848489,703.654678328743,682.586850647686,665.2429261033809,659.58990235977,722.1697159447141,701.734197365789,718.8542776350031,660.471966435214,635.14336774755,672.205473631029,591.088444237775,589.206823548332,757.449758687107,916.603366664942,1037.72705705399,1142.95590243025,1278.97134075227,1356.5299480955198,1326.25154902931,1550.1212252248802,1682.28726291271,1667.9926183287698,1648.86751404089,1654.31486493049,1503.8593340239802,1401.2810525210598,1536.20678264071,1530.16191737441,1481.4252919358498,1326.66365762056
2,Afghanistan,AFG,59.7732337032148,59.8608999923829,58.4580086983139,78.7064287776753,82.0953065340517,101.108325163758,137.594297961115,160.898434161304,129.108310965006,129.32976036419902,156.518771348706,159.567508996258,135.317227981591,143.14464950008102,173.65362474202598,186.510838346447,197.44550755114497,224.225001566116,247.354087806417,275.738115377232,272.655510200686,264.111197144336,,,,,,,,,,,,,,,,,,,,,179.426579211394,190.683814295088,211.38207419893902,242.031313175022,263.733601866274,359.693157866109,364.660679028164,438.076142403179,543.302967401909,591.162798293135,641.871437960934,637.1654639517981,613.856505217398,578.466352941708,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
3,Africa Western and Central,AFW,107.963778616651,113.114696953784,118.865837440142,123.478966568545,131.892938958314,138.566819440514,144.368394634907,128.620050961971,129.678996354687,143.757635300556,195.490684201364,169.16852886390498,200.226910297762,241.782075260994,333.289875473385,377.898462957787,444.50429833828696,454.923087827076,482.618499758549,584.544785353761,718.9019219501461,1317.3165489820199,1136.79468344735,816.139285944852,656.904775547102,651.700457485045,585.07829234262,584.290054262687,561.525597688105,510.56834625193903,594.8995995762921,558.5990402193,547.823070701764,438.26231068767,376.354920811847,459.364903240959,495.779036379884,486.52301634998,484.090741631737,500.43617965853304,502.03166199390097,516.927933754647,605.061007142956,681.882359233506,826.8165382011659,988.839393612544,1224.05761209197,1400.0860073919698,1666.89984716336,1444.20189894288,1655.13013813728,1827.5183468263501,1936.39096169927,2123.39243327941,2166.7433094176104,1886.2481579340301,1666.42240647892,1606.9783316168302,1695.9592150833498,1772.3391548403501,1714.4267999041501
4,Angola,AGO,,,,,,,,,,,,,,,,,,,,,711.40957856021,642.768196831557,620.333123364606,623.8153623515809,638.099006801712,758.7450631521581,685.728127726666,756.767926189975,792.833017228347,891.149280264381,948.338177965671,,,,251.07834836730203,398.79099821209,522.679624255226,514.3851744257589,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.4944417912731,982.96100777685,1255.5645132554598,1902.4221497593699,2599.56594793067,3121.99608528081,4080.9410337241707,3122.7815987074,3587.8836446283703,4615.46821863819,5100.09702685927,5254.88112606683,5408.411700020821,4166.979833302779,3506.0731281883195,4095.8100568707,3289.64399476678,2809.6260883912896,1895.7708689131302
5,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,639.484735848211,639.865909445734,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.27922507758103,586.416339644261,750.604449178826,1009.9776675210601,717.380567391734,813.790263555599,1033.2416930932002,1126.68331762741,1281.65939343074,1425.1248488836802,1846.11881331912,2373.57984371994,2673.78728253113,2972.7432646217603,3595.0371632151396,4370.5401269901395,4114.140114049221,4094.3503344202004,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.8012152446504,4124.055725953521,4531.0208055598605,5284.38018438156,5355.84779459031,5215.2767523700295
6,Andorra,AND,,,,,,,,,,,3238.6902609720396,3496.5320229667,4218.27159918486,5342.168560442079,6320.80963168572,7169.101005595559,7151.249909405991,7751.843307413571,9127.81227979624,11818.4733427033,12378.7845111338,10372.786050001,9610.02061570912,8025.207640540359,7728.90669456943,7775.6142169163595,10361.1477651737,12615.126176914298,14304.640595474199,15165.2812551732,18878.8523130643,19534.2636301538,20549.8055751695,16515.6583953924,16235.068037723899,18458.1739929996,19016.2881877293,18355.627860432098,18895.110661321,19262.3089910407,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.849934021106,48719.6587699036,43504.2156523202,40850.2481432297,43334.8114127088,38686.4612635075,39540.7248137461,41303.9293714464,35770.7767044085,37475.635058752596,38964.904478265,41791.9698372411,40897.3308728669,
7,Arab World,ARB,,,,,,,,,307.586978427858,328.319306388199,359.546985206109,404.82750444194704,469.974023430096,578.695263800674,1063.54550935109,1143.76123485064,1377.56066831339,1536.2292119525698,1632.79826877345,2138.8244942860197,2802.4944941684103,2801.16054936606,2549.40759687205,2324.84607893337,2288.08680748475,2198.46705991609,2038.48967883617,2112.07153960577,2019.82719930477,2060.16151383428,2750.96030380503,1857.8212473075,1952.88824680536,1925.11321459242,1930.0025350390802,2044.92596612766,2191.20168192865,2309.37053326063,2182.00789574685,2377.02301789138,2678.31451435377,2536.78625625637,2484.84518532932,2696.0469225544502,3134.8724792364196,3765.92729440976,4360.06424987312,4963.69998277986,6149.711791448,5180.55546994238,5948.6743487116,6870.09861649395,7455.041881032521,7505.174191527371,7436.580077895291,6346.03234681792,6093.33100860206,6095.66342966197,6568.98405167902,6570.174197334,5802.10412863519
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,26848.088176073798,30117.948933030802,33823.1816606368,28457.078034209902,33512.6334236559,42764.5405564139,44987.53799018519,40025.8226237317,34843.1596263749,32309.8327132028,29720.8977184634,23467.8793176905,23726.3070493825,22295.1187062952,24028.2624976646,27729.3905933305,26612.253110068,26420.859883407902,25596.7393895625,25848.016250094,27221.9344117425,28975.079957271202,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649555,31567.5463066439,33499.1027760786,36333.1873330517,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.197782324503,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,43103.336292986896,
9,Argentina,ARG,,,1155.8907166925699,850.304578624232,1173.23810525517,1279.11377848123,1272.80320401009,1062.54341227446,1141.08043154103,1329.058546189,1322.59063753874,1372.37417356256,1408.86537993108,2097.02283010295,2844.86331235351,2027.3372022265899,1948.22468587272,2129.70836077888,2146.3649589926504,2520.9207160651604,2758.83481652658,2776.3220882513897,2927.89735685135,3553.3775087968397,2659.7082424700698,2926.12648531698,3613.62170927636,3562.87605875248,3985.1924687496203,2383.86747065533,4333.4833716802505,5735.3599805848,6823.538837104239,6969.11972904571,7483.140334257209,7408.7086636311205,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.099114540409,7208.373113553721,2593.404563368,3349.8063003103603,4277.72157290954,5109.852244904029,5919.01233837714,7245.446856671971,9020.873323142741,8225.13758261645,10385.964431955501,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658001,11633.4980086503,9912.28180859863,8441.919439109399
