,country,country_code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Aruba,ABW,,,,,,,,,,,,,,,,,5755.28733044711,6901.27048692729,8529.33574126456,10069.9960298126,10968.4995941542,12035.5512969746,12508.6617296328,13211.9763694122,14351.2573892195,14476.1152543027,14557.605412141398,15636.2829615492,16895.3266306365,16911.3807490981,18246.3267979256,17925.4237532422,16915.3049459589,18164.812377927,19508.5185258073,16248.6882845578,20642.6185054639,19490.1004526048,23288.4374096533,21405.3566782087,19831.3226574586,20055.1836886498,21093.2366483728,21960.637993656102,22980.2128545665,23868.3397161899,24041.901644574198,24369.298438410802,,
1,Africa Eastern and Southern,AFE,,,,,,,,,,,545.650982174232,553.534191135357,507.816584735761,531.642266091466,479.588343993641,382.181296849708,412.911313775227,494.488470959327,518.531250751842,527.8917590381881,571.57676410506,595.964114172329,571.9657239822251,552.360774977285,544.650591572264,600.703259770061,592.4882814420021,609.0778090105999,561.207486357456,540.049368457147,565.309990009213,489.32265599875,485.13383694711604,630.334196512464,758.297170645455,846.886214108711,905.813178250671,976.9599580663139,964.8655808411801,1045.58704649843,1188.25668939514,1270.3567448972801,1297.5059874678,1291.50445487931,1312.21828563784,1241.64339804435,1139.48469431527,1236.85402730495,1223.6401934141,1194.70542568099
2,Afghanistan,AFG,151.056243793612,154.062817328608,131.204610830403,138.482512944815,167.45922171699,178.99209560715698,189.123895690491,214.62422391410098,236.92577254443802,262.56669224760503,258.278378010164,251.449493177123,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.427785438601,511.897770739149,557.080737507603,605.2911952537789,602.651812093837,580.857203597267,553.26538580187,489.103173292978,501.82838424615,473.31937079101,490.23231424709394
3,Africa Western and Central,AFW,,145.658150638909,172.927425961534,203.799357933184,258.460603410538,308.20310070396704,373.39117896343697,360.411841014047,383.568969909925,398.583240489376,520.030103689355,1112.8817671793,978.4682921023981,692.213549611677,543.2806828599211,527.635383909872,488.74938688734,474.612769508358,474.64495766777605,396.001324643182,444.87592690962305,446.664171991981,423.117675110099,332.65489678558,301.759281988111,358.48418368731905,385.23585164056,387.047385907901,400.98125095079695,415.104060074647,370.15421635940004,405.586305171728,482.428419046571,535.709496251796,625.19661165304,726.105888686256,944.8709213328281,1076.15484311718,1252.49342879137,1141.4914155751599,1251.53408586752,1331.65165473042,1444.5656160759,1630.41301331634,1715.01367966274,1562.0015126534101,1385.2119528108099,1303.3977459575099,1341.60733048296,1424.47996803499
4,Angola,AGO,,,,,,,,,,,,,,,,521.805287333858,541.476551985613,458.766910119851,433.709182415101,636.013236703958,541.837948977798,668.57558418896,66.8379695372796,95.3512776100623,26.235677614984102,186.654154648754,184.32221329444,260.367972977375,269.475147983955,164.491931625793,207.36681698827098,265.468106139649,559.032751993087,663.298446945682,676.238084371573,918.108177079043,1245.07345181017,1377.5825923226598,1288.338922604,1755.07574434499,1742.4006070465198,2285.74063940392,2733.04987698596,3053.72814619958,3470.1029134141804,3119.03306991427,2633.77616990558,2866.8646724738,2000.5468166604699,1700.31846065712
5,Albania,ALB,,,,,,,,,,,,,,,464.95852753034103,461.961591274956,552.2863373915039,518.1445617062719,503.977022187277,529.085970211277,475.232378383748,250.912339186285,139.196710071411,317.205646975103,509.150451143286,668.479729427041,914.036271405642,642.238707993505,748.6516346084301,948.273098039024,1039.491859388,1192.4719717288199,1311.94916216929,1703.46876151897,2169.4160294692497,2436.98353685481,2738.06414376139,3230.7687742234802,3834.4812002246795,3515.17877507678,3498.34200500817,3733.57520015255,3508.38080725258,3765.18141533392,3850.05355925335,3272.39414689327,3448.3245692715504,3722.95418204581,4326.33059600216,4319.48763879351
6,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arab World,ARB,,,,,,,,,,,1320.3211231913199,1438.16518987111,1440.78475921191,1333.55824738956,1294.83299019104,1250.7995154583698,1220.07861935673,1224.30020534343,1204.233988233,1188.1980645066699,1631.13309361614,1568.63914237264,1698.88982835213,1664.62517634271,1634.2973471719502,1723.0099845409802,1845.42931727531,1931.3128895358398,1887.75058282363,1955.3530347549301,2080.04584404898,2063.3591735610003,2055.11878002795,2217.4537959265,2519.09497869915,2907.5670293971602,3412.92994076123,3959.7454260022705,4786.89089801872,4215.75495216769,4766.815654857221,5372.0351091879,5897.07528642484,6032.5287635616605,6074.99369970542,5422.920836237439,5259.6783038105605,5181.39848608339,5465.2446695218,5510.63643730824
8,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30445.452919556697,29044.0623072212,28202.0439791313,29583.681297429303,32194.602202067203,33305.4235633352,35914.2439303106,36678.3470419181,37374.326446927,27384.923442649302,30498.580731077403,34547.2192363653,36052.8740999373,37911.6238792931,39308.2920985363,35646.0995647656,35478.3080462601,37734.434162482205,40019.94277407,39305.7796297503
9,Argentina,ARG,1194.73263942248,1301.2428918117698,1294.8919913863901,1965.7312395685,2641.0604107490303,1889.5610161082898,1782.30207910291,1941.48332713284,1945.13186979068,2226.34392900184,2407.81928078938,2394.39462686945,2472.14803844784,3025.46611893578,2266.42640905149,2489.04868649594,3174.45142775018,3104.73511932302,3485.87746634079,1924.15153968166,3690.90532943993,5033.70413131484,6069.19932137663,6190.06042959084,6582.195624903461,6397.549764205711,6698.719839844361,7079.595434729351,7119.689540470849,6555.8576370520805,6437.668973044821,5996.252778292471,1983.4132054206302,2678.72691771757,3172.48382787776,3776.75458899897,4869.5119409278395,6098.40468322021,7565.00962329907,6834.655816401049,8614.98987838247,10687.8063952378,10827.7308081891,10836.2931686952,10212.7922967185,11677.288694673798,10803.6422710125,12497.730506588301,9676.81110681212,8160.572028688471
