,country,country_code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Africa Eastern and Southern,AFE,7.5746811471576105,7.64816455876161,7.769181258768691,7.7713082351813,7.77344787869791,7.78487853545233,7.77086644739099,7.7140823489262305,7.74289342242827,7.6576977035123805,7.67321951321231,7.9377046465771794,7.802388884189731,7.32925309730945,7.13135886843941,6.91484987129109,6.5874752642467405,6.097317661609,6.3000560871674205,6.879693861295951,6.73071983180151,6.57824299805354,6.480672677965781,6.4144621620183395,6.46859789017261,6.54635114689887,6.52306074435339,6.414391647556701,6.47226928955243,6.81417669985147
2,Afghanistan,AFG,11.38,11.46,11.61,11.65,11.65,11.65,11.64,11.64,11.69,11.65,11.63,11.68,11.68,11.61,11.52,11.34,11.18,11.11,11.46,11.52,11.51,11.52,11.54,11.45,11.39,11.31,11.18,11.06,10.98,11.73
3,Africa Western and Central,AFW,4.30439778162038,4.354186287572009,4.41047528421538,4.42279701426671,4.41272662535816,4.46027396733943,4.49708969942259,4.56516680955907,4.7848981683976906,4.82612900089575,4.758819740247191,4.71448605705299,4.67901757310581,4.6553519117018896,4.64047185310391,4.48385958528016,4.37947847614069,4.3101662495107504,4.47859360190901,4.4711612850253895,4.46673087945792,4.56013928458508,4.35618721923573,4.64063155931021,4.5471131400083,5.48648034766074,5.9271037751416396,5.910614964068331,5.92892616293053,6.3001047205968
4,Angola,AGO,3.75,3.78,3.85,3.87,3.86,3.86,3.86,3.86,3.88,3.87,3.85,3.88,3.88,3.85,3.81,3.73,3.66,3.63,3.78,9.43,7.36,7.37,7.38,7.31,7.26,7.2,7.1,7.0,6.93,7.7
5,Albania,ALB,16.22,16.33,16.52,16.57,16.57,16.57,16.55,16.55,16.62,16.58,16.54,16.61,16.61,16.52,16.4,16.17,15.97,13.06,13.67,14.09,13.48,13.38,15.87,18.06,17.19,15.42,13.62,12.3,11.47,11.7
6,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Arab World,ARB,11.5044243192839,12.002108716007399,12.7570335360391,12.8723589477961,13.1641910993948,12.327621058643901,11.8435237816712,11.9061864771768,12.0216110629926,12.459707574853,12.3178635232058,12.319537132314501,12.27405151736,11.266258622692598,11.1003818646089,10.313361661275302,9.8865172394673,9.556738107536551,9.20068531013168,9.270221410250779,10.3023107433369,10.495993454515801,10.5641547018004,10.6778097042911,10.713792872257699,10.507661087823,10.7182937754196,10.2565794280878,10.207222578477198,11.481565055978
8,United Arab Emirates,ARE,1.75,1.75,1.73,1.76,1.8,1.89,1.98,2.07,2.15,2.25,2.41,2.56,2.71,2.9,3.12,3.06,2.99,2.85,2.53,2.36,2.23,2.09,1.95,1.84,1.74,1.64,2.46,2.23,2.28,5.0
9,Argentina,ARG,5.44,6.36,10.1,11.76,18.8,17.11,14.82,12.65,14.05,15.0,17.32,19.59,15.36,13.52,11.51,10.08,8.47,7.84,8.65,7.71,7.18,7.22,7.1,7.27,7.61,7.97,8.35,9.22,9.84,11.67
