IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2017,true,,,,,,,,,,,,,0.009,,,,,,0.009,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SLE,Sierra Leone,Year,2017,true,,,,,,,,,,,,,0.028,,,,,,0.028,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2017,true,,,,,,,,,,,,,0.046,,,,,,0.046,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Iraq,Year,2017,true,,,,,,,,,,,,,0.11,,,,,,0.11,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2017,true,,,,,,,,,,,,,0.25,,,,,,0.25,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2017,true,,,,,,,,,,,,,0.38,,,,,,0.38,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2017,true,,,,,,,,,,,,,0.43,,,,,,0.43,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,BDI,Burundi,Year,2017,true,,,,,,,,,,,,,0.49,,,,,,0.49,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AFR,Africa,Country,COM,Comoros,Year,2017,true,,,,,,,,,,,,,0.64,,,,,,0.64,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2017,true,,,,,,,,,,,,,1.24,,,,,,1.24,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2017,true,,,,,,,,,,,,,1.79,,,,,,1.79,,,EN,2019-04-25T05:00:00.000Z
MH_9,"Psychologists working in mental health sector (per 100,000)",numeric,AMR,Americas,Country,VCT,Saint Vincent and the Grenadines,Year,2017,true,,,,,,,,,,,,,1.83,,,,,,1.83,,,EN,2019-04-25T05:00:00.000Z
