"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5755.28733044711","6901.27048692729","8529.33574126456","10069.9960298126","10968.4995941542","12035.5512969746","12508.6617296328","13211.9763694122","14351.2573892195","14476.1152543027","14557.6054121414","15636.2829615492","16895.3266306365","16911.3807490981","18246.3267979256","17925.4237532422","16915.3049459589","18164.812377927","19508.5185258073","16248.6882845578","20642.6185054639","19490.1004526048","23288.4374096533","21405.3566782087","19831.3226574586","20055.1836886498","21093.2366483728","21960.6379936561","22980.2128545665","23868.3397161899","24041.9016445742","24369.2984384108","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","545.650982174232","553.534191135357","507.816584735761","531.642266091466","479.588343993641","382.181296849708","412.911313775227","494.488470959327","518.531250751842","527.891759038188","571.57676410506","595.964114172329","571.965723982225","552.360774977285","544.650591572264","600.703259770061","592.488281442002","609.0778090106","561.207486357456","540.049368457147","565.309990009213","489.32265599875","485.133836947116","630.334196512464","758.297170645455","846.886214108711","905.813178250671","976.959958066314","964.86558084118","1045.58704649843","1188.25668939514","1270.35674489728","1297.5059874678","1291.50445487931","1312.21828563784","1241.64339804435","1139.48469431527","1236.85402730495","1223.6401934141","1194.70542568099","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","151.056243793612","154.062817328608","131.204610830403","138.482512944815","167.45922171699","178.992095607157","189.123895690491","214.624223914101","236.925772544438","262.566692247605","258.278378010164","251.449493177123","","","","","","","","","","","","","","","","","","","","","","","","","","","","411.427785438601","511.897770739149","557.080737507603","605.291195253779","602.651812093837","580.857203597267","553.26538580187","489.103173292978","501.82838424615","473.31937079101","490.232314247094","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","145.658150638909","172.927425961534","203.799357933184","258.460603410538","308.203100703967","373.391178963437","360.411841014047","383.568969909925","398.583240489376","520.030103689355","1112.8817671793","978.468292102398","692.213549611677","543.280682859921","527.635383909872","488.74938688734","474.612769508358","474.644957667776","396.001324643182","444.875926909623","446.664171991981","423.117675110099","332.65489678558","301.759281988111","358.484183687319","385.23585164056","387.047385907901","400.981250950797","415.104060074647","370.1542163594","405.586305171728","482.428419046571","535.709496251796","625.19661165304","726.105888686256","944.870921332828","1076.15484311718","1252.49342879137","1141.49141557516","1251.53408586752","1331.65165473042","1444.5656160759","1630.41301331634","1715.01367966274","1562.00151265341","1385.21195281081","1303.39774595751","1341.60733048296","1424.47996803499","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","521.805287333858","541.476551985613","458.766910119851","433.709182415101","636.013236703958","541.837948977798","668.57558418896","66.8379695372796","95.3512776100623","26.2356776149841","186.654154648754","184.32221329444","260.367972977375","269.475147983955","164.491931625793","207.366816988271","265.468106139649","559.032751993087","663.298446945682","676.238084371573","918.108177079043","1245.07345181017","1377.58259232266","1288.338922604","1755.07574434499","1742.40060704652","2285.74063940392","2733.04987698596","3053.72814619958","3470.10291341418","3119.03306991427","2633.77616990558","2866.8646724738","2000.54681666047","1700.31846065712","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","464.958527530341","461.961591274956","552.286337391504","518.144561706272","503.977022187277","529.085970211277","475.232378383748","250.912339186285","139.196710071411","317.205646975103","509.150451143286","668.479729427041","914.036271405642","642.238707993505","748.65163460843","948.273098039024","1039.491859388","1192.47197172882","1311.94916216929","1703.46876151897","2169.41602946925","2436.98353685481","2738.06414376139","3230.76877422348","3834.48120022468","3515.17877507678","3498.34200500817","3733.57520015255","3508.38080725258","3765.18141533392","3850.05355925335","3272.39414689327","3448.32456927155","3722.95418204581","4326.33059600216","4319.48763879351","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1320.32112319132","1438.16518987111","1440.78475921191","1333.55824738956","1294.83299019104","1250.79951545837","1220.07861935673","1224.30020534343","1204.233988233","1188.19806450667","1631.13309361614","1568.63914237264","1698.88982835213","1664.62517634271","1634.29734717195","1723.00998454098","1845.42931727531","1931.31288953584","1887.75058282363","1955.35303475493","2080.04584404898","2063.359173561","2055.11878002795","2217.4537959265","2519.09497869915","2907.56702939716","3412.92994076123","3959.74542600227","4786.89089801872","4215.75495216769","4766.81565485722","5372.0351091879","5897.07528642484","6032.52876356166","6074.99369970542","5422.92083623744","5259.67830381056","5181.39848608339","5465.2446695218","5510.63643730824","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30445.4529195567","29044.0623072212","28202.0439791313","29583.6812974293","32194.6022020672","33305.4235633352","35914.2439303106","36678.3470419181","37374.326446927","27384.9234426493","30498.5807310774","34547.2192363653","36052.8740999373","37911.6238792931","39308.2920985363","35646.0995647656","35478.3080462601","37734.4341624822","40019.94277407","39305.7796297503","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1194.73263942248","1301.24289181177","1294.89199138639","1965.7312395685","2641.06041074903","1889.56101610829","1782.30207910291","1941.48332713284","1945.13186979068","2226.34392900184","2407.81928078938","2394.39462686945","2472.14803844784","3025.46611893578","2266.42640905149","2489.04868649594","3174.45142775018","3104.73511932302","3485.87746634079","1924.15153968166","3690.90532943993","5033.70413131484","6069.19932137663","6190.06042959084","6582.19562490346","6397.54976420571","6698.71983984436","7079.59543472935","7119.68954047085","6555.85763705208","6437.66897304482","5996.25277829247","1983.41320542063","2678.72691771757","3172.48382787776","3776.75458899897","4869.51194092784","6098.40468322021","7565.00962329907","6834.65581640105","8614.98987838247","10687.8063952378","10827.7308081891","10836.2931686952","10212.7922967185","11677.2886946738","10803.6422710125","12497.7305065883","9676.81110681212","8160.57202868847","",
